LLM,Model,Performance,Cell Type
sei,CNN,0.7349260633619692,HepG2
sei,CNN,0.7512669097041675,K562
ResNet,CNN,0.7529030509335699,HepG2
rep_cnn,CNN,0.6382916843193999,HepG2
ResNet,CNN,0.7896070343743927,K562
rep_cnn,CNN,0.6905834437686738,K562
MPRAnn,CNN,0.712668300465996,HepG2
MPRAnn,CNN,0.7422549689963908,K562
gpn,CNN0.5,0.6090342771396581,HepG2
gpn,CNN1.0,0.6366648583211246,HepG2
gpn,CNN2.0,0.6264887341176166,HepG2
gpn,CNN0.5,0.6798625708008617,K562
gpn,CNN1.0,0.6780432014634662,K562
gpn,CNN2.0,0.6851163965432066,K562
dnabert,CNN0.5,0.43231432834381367,HepG2
dnabert,CNN1.0,0.43364270511580827,HepG2
dnabert,CNN2.0,0.42581036690471213,HepG2
dnabert,CNN0.5,0.5721293126281962,K562
dnabert,CNN1.0,0.5678276332040313,K562
dnabert,CNN2.0,0.5665081011170219,K562
hyena,CNN0.5,0.5602858201849117,HepG2
hyena,CNN1.0,0.5559749097328218,HepG2
hyena,CNN2.0,0.5629512102485339,HepG2
hyena,CNN0.5,0.6435206274493429,K562
hyena,CNN1.0,0.6502636666736195,K562
hyena,CNN2.0,0.6434484926377698,K562
randbert,CNN0.5,0.35139038660206096,HepG2
randbert,CNN1.0,0.33547550688972044,HepG2
randbert,CNN2.0,0.348157677092655,HepG2
randbert,CNN0.5,0.44712315870974295,K562
randbert,CNN1.0,0.43460257382898704,K562
randbert,CNN2.0,0.44415474215877543,K562
