LLM,Model,Performance,Cell Type
hyena,Mean-embed-Ridge,0.336415412107566,HepG2
hyena,Mean-embed-Ridge,0.3798268946474326,K562
gpn,Mean-embed-Ridge,0.40301977634606223,HepG2
gpn,Mean-embed-Ridge,0.4539506880243995,K562
dnabert,Mean-embed-Ridge,0.4020427281989039,HepG2
dnabert,CLS-Ridge,0.3592317407430479,HepG2
dnabert,Mean-embed-Ridge,0.4227246066670896,K562
dnabert,CLS-Ridge,0.3774169548364982,K562
randbert,Mean-embed-Ridge,0.34610370892029313,HepG2
randbert,CLS-Ridge,0.2983118140680426,HepG2
randbert,Mean-embed-Ridge,0.34599746026262584,K562
randbert,CLS-Ridge,0.2986838497559094,K562
hyena,Mean-embed-MLP0.5,0.3916183327728343,HepG2
hyena,Mean-embed-MLP1,0.3965480276354838,HepG2
hyena,Mean-embed-MLP2,0.38831544055641604,HepG2
hyena,Mean-embed-MLP0.5,0.4593571952541308,K562
hyena,Mean-embed-MLP1,0.4585203059721601,K562
hyena,Mean-embed-MLP2,0.46151617889844837,K562
gpn,Mean-embed-MLP0.5,0.4553357146616757,HepG2
gpn,Mean-embed-MLP1,0.45889377164342676,HepG2
gpn,Mean-embed-MLP2,0.4584934574815806,HepG2
gpn,Mean-embed-MLP0.5,0.52131492627054,K562
gpn,Mean-embed-MLP1,0.5263652031475048,K562
gpn,Mean-embed-MLP2,0.5302876062530468,K562
dnabert,Mean-embed-MLP0.5,0.4440790821509911,HepG2
dnabert,CLS-MLP0.5,0.4113070140962174,HepG2
dnabert,Mean-embed-MLP1,0.44451751898025543,HepG2
dnabert,CLS-MLP1,0.41332276487341263,HepG2
dnabert,Mean-embed-MLP2,0.43949455431686324,HepG2
dnabert,CLS-MLP2,0.4090517087902282,HepG2
dnabert,Mean-embed-MLP0.5,0.49804360513773893,K562
dnabert,CLS-MLP0.5,0.45899455985964394,K562
dnabert,Mean-embed-MLP1,0.49801832945227775,K562
dnabert,CLS-MLP1,0.4615290251155859,K562
dnabert,Mean-embed-MLP2,0.4972508951089649,K562
dnabert,CLS-MLP2,0.46106264865584184,K562
randbert,Mean-embed-MLP0.5,0.3567012920116011,HepG2
randbert,CLS-MLP0.5,0.32128763955001743,HepG2
randbert,Mean-embed-MLP1,0.3510657429053861,HepG2
randbert,CLS-MLP1,0.3173089456540825,HepG2
randbert,Mean-embed-MLP2,0.34732462960377924,HepG2
randbert,CLS-MLP2,0.3124384794543702,HepG2
randbert,Mean-embed-MLP0.5,0.41740131704825345,K562
randbert,CLS-MLP0.5,0.37241669970357416,K562
randbert,Mean-embed-MLP1,0.40627137608382513,K562
randbert,CLS-MLP1,0.3743750558304722,K562
randbert,Mean-embed-MLP2,0.4119896420921904,K562
randbert,CLS-MLP2,0.366239272030319,K562
